date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
6/13/2019,126.03,126.6,126.77,125.96,5374818,126.03,126.6,126.77,125.96,5374818,0,0,13-Jun-19,0
6/14/2019,127.21,126.56,127.63,126.26,9226446,127.21,126.56,127.63,126.26,9226446,-0.04,-0.0316,14-Jun-19,-0.000316
6/17/2019,126.7,126.48,126.77,126.17,4763345,126.7,126.48,126.77,126.17,4763345,-0.08,-0.0632,17-Jun-19,-0.000948
6/18/2019,127.58,127.12,127.75,126.39,10309646,127.58,127.12,127.75,126.39,10309646,0.64,0.506,18-Jun-19,0.004107
6/19/2019,126.77,127.89,127.99,126.7,11660649,126.77,127.89,127.99,126.7,11660649,0.77,0.6057,19-Jun-19,0.01019
6/20/2019,130.41,131.11,131.49,130.19,18636339,130.41,131.11,131.49,130.19,18636339,3.22,2.5178,20-Jun-19,0.035624
6/21/2019,131.77,131.98,132.17,131.07,15068037,131.77,131.98,132.17,131.07,15068037,0.87,0.6636,21-Jun-19,0.042496
6/24/2019,132.77,133.94,134.03,132.58,17851801,132.77,133.94,134.04,132.58,17851801,1.96,1.4851,24-Jun-19,0.057978
6/25/2019,134.9,134.2,135.55,133.21,24772241,134.9,134.2,135.55,133.21,24772241,0.26,0.1941,25-Jun-19,0.060032
6/26/2019,132.99,132.97,133.55,132.41,12016402,132.99,132.97,133.55,132.41,12016402,-1.23,-0.9165,26-Jun-19,0.050316
6/27/2019,132.38,132.84,132.97,132.26,8412764,132.38,132.84,132.97,132.26,8412764,-0.13,-0.0978,27-Jun-19,0.049289
6/28/2019,133.05,133.2,133.34,132.61,8076966,133.05,133.2,133.34,132.61,8076966,0.36,0.271,28-Jun-19,0.052133
7/1/2019,131.56,130.62,131.75,130.55,13369815,131.56,130.62,131.76,130.55,13369815,-2.58,-1.9369,1-Jul-19,0.031754
7/2/2019,131.27,133.41,133.63,131.16,13282139,131.27,133.41,133.63,131.16,13282139,2.79,2.136,2-Jul-19,0.053791
7/3/2019,133.61,133.63,134.1,133.23,6351547,133.61,133.63,134.1,133.23,6351547,0.22,0.1649,3-Jul-19,0.055529
7/5/2019,131.46,132.14,132.32,130.81,11536581,131.46,132.14,132.32,130.81,11536581,-1.49,-1.115,5-Jul-19,0.04376
7/8/2019,132.18,131.29,132.34,131.28,8028884,132.18,131.29,132.34,131.28,8028884,-0.85,-0.6433,8-Jul-19,0.037046
7/9/2019,131.43,131.75,132.1,131.16,6633439,131.43,131.75,132.1,131.16,6633439,0.46,0.3504,9-Jul-19,0.040679
7/10/2019,132.94,133.83,133.87,132.35,13920593,132.94,133.83,133.87,132.35,13920593,2.08,1.5787,10-Jul-19,0.057109
7/11/2019,133.58,132.7,133.7,132.41,7535133,133.58,132.7,133.7,132.41,7535133,-1.13,-0.8444,11-Jul-19,0.048183
7/12/2019,132.89,133.53,133.69,132.53,6309451,132.89,133.53,133.69,132.53,6309451,0.83,0.6255,12-Jul-19,0.054739
7/15/2019,133.18,133.53,133.53,132.81,4026583,133.18,133.53,133.53,132.81,4026583,0,0,15-Jul-19,0.054739
7/16/2019,133.18,132.4,133.3,132.13,7965981,133.18,132.4,133.3,132.13,7965981,-1.13,-0.8463,16-Jul-19,0.045814
7/17/2019,133,134.58,134.6,132.89,11288279,133,134.58,134.6,132.89,11288279,2.18,1.6465,17-Jul-19,0.063033
7/18/2019,133.83,136.48,136.63,133.61,18466488,133.83,136.48,136.63,133.61,18466488,1.9,1.4118,18-Jul-19,0.078041
7/19/2019,135.45,134.47,136.03,133.97,18079195,135.45,134.47,136.03,133.97,18079195,-2.01,-1.4727,19-Jul-19,0.062164
7/22/2019,134.56,134.45,134.82,134.32,7570898,134.56,134.45,134.82,134.32,7570898,-0.02,-0.0149,22-Jul-19,0.062006
7/23/2019,134.43,133.69,134.95,133.56,9981379,134.43,133.69,134.95,133.56,9981379,-0.76,-0.5653,23-Jul-19,0.056003
7/24/2019,134.59,134.37,134.84,133.98,6715167,134.59,134.37,134.84,133.98,6715167,0.68,0.5086,24-Jul-19,0.061374
7/25/2019,134.24,133.42,134.28,133.09,11708240,134.24,133.42,134.28,133.09,11708240,-0.95,-0.707,25-Jul-19,0.05387
7/26/2019,134.24,133.64,134.29,133.59,6249928,134.24,133.64,134.29,133.59,6249928,0.22,0.1649,26-Jul-19,0.055608
7/29/2019,134.06,134.53,134.73,133.44,9162417,134.06,134.53,134.73,133.44,9162417,0.89,0.666,29-Jul-19,0.062638
7/30/2019,134.76,134.98,135.18,134.41,9458733,134.76,134.98,135.18,134.41,9458733,0.45,0.3345,30-Jul-19,0.066193
7/31/2019,135.03,133.21,135.42,133.02,18797199,135.03,133.21,135.42,133.02,18797199,-1.77,-1.3113,31-Jul-19,0.052212
8/1/2019,132.42,136.41,136.43,132.31,27719822,132.42,136.41,136.43,132.31,27719822,3.2,2.4022,1-Aug-19,0.077488
8/2/2019,135.39,135.89,136.6,135.37,13753222,135.39,135.89,136.6,135.37,13753222,-0.52,-0.3812,2-Aug-19,0.073381
8/5/2019,137.93,137.79,138.64,137.05,17519817,137.93,137.79,138.64,137.05,17519817,1.9,1.3982,5-Aug-19,0.088389
8/6/2019,138.33,138.91,139.03,138,9471209,138.33,138.91,139.03,138.01,9471209,1.12,0.8128,6-Aug-19,0.097235
8/7/2019,141.28,141.02,142.47,140.88,26671092,141.28,141.02,142.47,140.88,26671092,2.11,1.519,7-Aug-19,0.113902
8/8/2019,140.9,141.73,142.37,140.71,13108554,140.9,141.73,142.37,140.71,13108554,0.71,0.5035,8-Aug-19,0.11951
8/9/2019,141.28,141.26,142.03,140.96,9485912,141.28,141.26,142.03,140.96,9485912,-0.47,-0.3316,9-Aug-19,0.115798
8/12/2019,141.67,142.63,143.38,141.64,14863804,141.67,142.63,143.38,141.64,14863804,1.37,0.9698,12-Aug-19,0.126619
8/13/2019,143.17,141.78,143.28,139.35,29930394,143.17,141.78,143.29,139.35,29930394,-0.85,-0.5959,13-Aug-19,0.119905
8/14/2019,142.9,142.75,143.75,142.05,20672858,142.9,142.75,143.75,142.05,20672858,0.97,0.6842,14-Aug-19,0.127567
8/15/2019,142.96,143.7,144.02,142.61,13501099,142.96,143.7,144.02,142.61,13501099,0.95,0.6655,15-Aug-19,0.135071
8/16/2019,142.75,142.78,143.13,141.8,12184492,142.75,142.78,143.13,141.8,12184492,-0.92,-0.6402,16-Aug-19,0.127804
8/19/2019,141.33,141.11,141.79,140.85,10558366,141.33,141.11,141.79,140.85,10558366,-1.67,-1.1696,19-Aug-19,0.114613
8/20/2019,141.77,142.21,142.25,141.6,7479375,141.77,142.21,142.26,141.6,7479375,1.1,0.7795,20-Aug-19,0.123302
8/21/2019,141.62,141.76,142.17,141.46,8118733,141.62,141.76,142.17,141.46,8118733,-0.45,-0.3164,21-Aug-19,0.119747
8/22/2019,141.39,141.4,141.9,141.17,6847647,141.39,141.4,141.9,141.17,6847647,-0.36,-0.254,22-Aug-19,0.116904
8/23/2019,141.84,144.17,144.33,141.64,20290539,141.84,144.17,144.33,141.64,20290539,2.77,1.959,23-Aug-19,0.138784
8/26/2019,144.35,144.19,144.97,143.91,12200810,144.35,144.19,144.97,143.91,12200810,0.02,0.0139,26-Aug-19,0.138942
8/27/2019,144.3,145.57,145.68,144.27,12857588,144.3,145.57,145.68,144.27,12857588,1.38,0.9571,27-Aug-19,0.149842
8/28/2019,145.39,145.16,145.68,144.64,11454605,145.39,145.16,145.68,144.64,11454605,-0.41,-0.2817,28-Aug-19,0.146603
8/29/2019,145.4,144.12,145.49,143.28,14764572,145.4,144.12,145.49,143.28,14764572,-1.04,-0.7165,29-Aug-19,0.138389
