date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
6/13/2019,289.4,289.58,289.98,288.62,48945156,289.4,289.58,289.98,288.62,48945156,0,0,13-Jun-19,0
6/14/2019,289.26,289.26,289.93,288.41,52324716,289.26,289.26,289.93,288.41,52324716,-0.32,-0.1105,14-Jun-19,-0.001105
6/17/2019,289.52,289.37,290.22,289.18,39205709,289.52,289.37,290.22,289.18,39205709,0.11,0.038,17-Jun-19,-0.000725
6/18/2019,291.39,292.4,293.57,290.99,85434823,291.39,292.4,293.57,290.99,85434823,3.03,1.0471,18-Jun-19,0.009738
6/19/2019,292.55,293.06,293.65,291.47,78674377,292.55,293.06,293.65,291.47,78674377,0.66,0.2257,19-Jun-19,0.012017
6/20/2019,296.04,295.86,296.31,293.13,116570017,296.04,295.86,296.31,293.13,116570017,2.8,0.9554,20-Jun-19,0.021687
6/21/2019,294.13,294,295.52,293.76,83309466,294.13,294,295.52,293.76,83309466,-1.86,-0.6287,21-Jun-19,0.015263
6/24/2019,294.23,293.64,294.58,293.47,47582730,294.23,293.64,294.58,293.47,47582730,-0.36,-0.1224,24-Jun-19,0.01402
6/25/2019,293.7,290.76,293.73,290.64,82028656,293.7,290.76,293.73,290.64,82028656,-2.88,-0.9808,25-Jun-19,0.004075
6/26/2019,291.75,290.47,292.31,290.35,51584902,291.75,290.47,292.31,290.35,51584902,-0.29,-0.0997,26-Jun-19,0.003073
6/27/2019,291.31,291.5,292.06,290.89,40355239,291.31,291.5,292.06,290.89,40355239,1.03,0.3546,27-Jun-19,0.00663
6/28/2019,292.58,293,293.55,292.01,59350929,292.58,293,293.55,292.01,59350929,1.5,0.5146,28-Jun-19,0.01181
7/1/2019,296.68,295.66,296.92,294.33,79107474,296.68,295.66,296.92,294.33,79107474,2.66,0.9078,1-Jul-19,0.020996
7/2/2019,295.61,296.43,296.49,294.68,61504544,295.61,296.43,296.49,294.68,61504544,0.77,0.2604,2-Jul-19,0.023655
7/3/2019,297.18,298.8,298.82,297.02,40898896,297.18,298.8,298.82,297.02,40898896,2.37,0.7995,3-Jul-19,0.031839
7/5/2019,297.44,298.46,298.64,296.01,51677326,297.44,298.46,298.64,296.01,51677326,-0.34,-0.1138,5-Jul-19,0.030665
