date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
6/13/2019,88.56,87.04,88.64,86.48,4366046,11.07,10.88,11.08,10.81,34928366,0,0,13-Jun-19,0
6/14/2019,87.36,87.52,88.32,86.88,3216363,10.92,10.94,11.04,10.86,25730907,0.48,0.5515,14-Jun-19,0.005515
6/17/2019,86.8,86.48,87.56,86,3940363,10.85,10.81,10.95,10.75,31522906,-1.04,-1.1883,17-Jun-19,-0.006434
6/18/2019,87.92,90,90.48,87.68,4511600,10.99,11.25,11.31,10.96,36092802,3.52,4.0703,18-Jun-19,0.034007
6/19/2019,89.12,90.64,90.72,88.8,5144683,11.14,11.33,11.34,11.1,41157460,0.64,0.7111,19-Jun-19,0.04136
6/20/2019,93.52,94.8,95.2,93.04,5822444,11.69,11.85,11.9,11.63,46579551,4.16,4.5896,20-Jun-19,0.089154
6/21/2019,94.88,95.76,95.84,94.8,3071972,11.86,11.97,11.98,11.85,24575774,0.96,1.0127,21-Jun-19,0.100184
6/24/2019,95.6,96.08,96.32,94.16,3329024,11.95,12.01,12.04,11.77,26632194,0.32,0.3342,24-Jun-19,0.10386
6/25/2019,96.28,96,96.88,95.52,2896216,12.04,12,12.11,11.94,23169727,-0.08,-0.0833,25-Jun-19,0.102941
6/26/2019,98.32,98.32,99.44,98,4382434,12.29,12.29,12.43,12.25,35059470,2.32,2.4167,26-Jun-19,0.129596
6/27/2019,98.32,98.32,99.12,98.1,3304889,12.29,12.29,12.39,12.26,26439111,0,0,27-Jun-19,0.129596
6/28/2019,98.64,96.32,98.8,95.85,3607098,12.33,12.04,12.35,11.98,28856784,-2,-2.0342,28-Jun-19,0.106618
7/1/2019,99.52,98.24,99.56,96.85,3918918,12.44,12.28,12.45,12.11,31351347,1.92,1.9934,1-Jul-19,0.128676
7/2/2019,97.68,93.6,97.68,93.12,6164291,12.21,11.7,12.21,11.64,49314331,-4.64,-4.7231,2-Jul-19,0.075368
7/3/2019,94.48,94.16,94.84,93.18,2461279,11.81,11.77,11.86,11.65,19690232,0.56,0.5983,3-Jul-19,0.081801
7/5/2019,94.88,95.6,95.92,94.56,2838280,11.86,11.95,11.99,11.82,22706243,1.44,1.5293,5-Jul-19,0.098346
7/8/2019,95.96,95.44,97.04,95.28,3144796,12,11.93,12.13,11.91,25158366,-0.16,-0.1674,8-Jul-19,0.096507
